Date,Open,High,Low,Close,Adj Close,Volume
2008-07-31,91.720001,92.050003,91.269997,91.669998,60.007858,3898700
2008-08-01,90.970001,91.559998,90.830002,91.540001,60.140625,1804800
2008-08-04,91.089996,91.639999,91.010002,91.330002,60.002636,2029900
2008-08-05,91.349998,91.599998,90.620003,90.650002,59.555885,2191200
2008-08-06,90.410004,90.410004,89.820000,90.279999,59.312832,3139500
2008-08-07,90.629997,91.900002,90.430000,91.750000,60.278606,2765600
2008-08-08,91.889999,92.080002,91.540001,92.000000,60.442814,1035400
2008-08-11,91.779999,91.779999,90.599998,91.120003,59.864651,3939400
2008-08-12,91.809998,92.029999,91.699997,91.970001,60.423088,1315000
2008-08-13,92.300003,92.349998,91.459999,91.650002,60.212891,1940300
2008-08-14,92.260002,92.599998,92.070000,92.239998,60.600491,2605300
2008-08-15,92.669998,93.199997,92.570000,93.040001,61.126083,1964900
2008-08-18,93.080002,93.540001,92.959999,93.410004,61.369171,1262200
2008-08-19,93.440002,93.529999,92.889999,93.050003,61.132652,1944700
2008-08-20,93.379997,93.709999,93.150002,93.309998,61.303478,2500000
2008-08-21,93.629997,93.629997,92.750000,93.139999,61.191784,2267000
2008-08-22,93.110001,93.169998,92.639999,93.080002,61.152332,1990000
2008-08-25,94.120003,94.330002,93.849998,94.010002,61.763416,2028300
2008-08-26,93.959999,94.199997,93.709999,94.089996,61.815941,1270900
2008-08-27,93.489998,94.290001,93.440002,94.250000,61.921017,1555300
2008-08-28,93.910004,94.410004,93.690002,94.260002,61.927612,1886500
2008-08-29,94.019997,94.160004,93.510002,93.839996,61.651649,1739100
2008-09-02,92.980003,94.410004,92.839996,94.370003,62.225361,2916000
2008-09-03,94.269997,94.889999,94.260002,94.769997,62.489155,2105000
2008-09-04,95.000000,95.559998,94.809998,95.529999,62.990227,3049800
2008-09-05,96.019997,96.309998,95.410004,95.480003,62.957214,4167800
2008-09-08,94.900002,95.879997,94.559998,95.879997,63.221024,5426200
2008-09-09,95.830002,96.879997,95.540001,96.830002,63.847477,3890200
2008-09-10,95.980003,96.660004,95.820000,96.230003,63.451797,2407900
2008-09-11,96.790001,96.860001,96.000000,96.180000,63.418774,3592000
2008-09-12,96.209999,96.330002,94.750000,94.940002,62.601166,4138200
2008-09-15,96.279999,98.169998,96.070000,98.019997,64.632080,5889900
2008-09-16,100.709999,100.860001,97.910004,98.000000,64.618858,6684400
2008-09-17,98.919998,99.379997,97.730003,98.489998,64.941971,4371300
2008-09-18,97.949997,98.489998,96.919998,97.050003,63.992500,4188300
2008-09-19,93.860001,95.019997,93.699997,93.970001,61.961597,7169200
2008-09-22,92.930000,93.959999,92.599998,93.959999,61.954979,4726300
2008-09-23,93.610001,94.099998,93.129997,93.599998,61.717621,2236000
2008-09-24,93.970001,94.750000,93.599998,94.010002,61.988014,1014900
2008-09-25,94.589996,94.589996,93.150002,93.820000,61.862698,1881200
2008-09-26,94.070000,94.790001,94.070000,94.500000,62.311073,1992800
2008-09-29,95.169998,97.930000,95.160004,97.250000,64.124329,4799800
2008-09-30,97.040001,97.290001,94.599998,94.879997,62.561596,1358100
2008-10-01,96.040001,96.900002,94.949997,95.779999,63.348694,1767800
2008-10-02,96.570000,96.849998,96.070000,96.550003,63.857918,931900
2008-10-03,97.379997,97.790001,95.489998,97.400002,64.420105,1903100
